STATION,NAME,DATE,AWND,PRCP,TMIN,TMAX
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-01-2021,13.42,0,56,69
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-01-2021,13.87,0,48,57
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-01-2021,7.83,0,47,56
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-01-2021,6.49,0,44,68
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-01-2021,5.82,0,52,61
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-01-2021,12.3,0,51,62
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-01-2021,22.15,0.97,50,64
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-01-2021,21.25,0,43,51
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-01-2021,15.66,0,41,51
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-01-2021,15.66,0.13,40,45
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-01-2021,18.12,0.48,41,46
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-01-2021,9.17,0,38,44
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-01-2021,4.47,0,39,55
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-01-2021,10.51,0,39,70
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-01-2021,14.99,0,50,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-01-2021,10.96,0,46,54
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-01-2021,6.26,0,39,61
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-01-2021,6.26,0,42,64
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-01-2021,8.28,0,50,75
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-01-2021,6.71,0,52,68
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-01-2021,10.51,0,59,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-01-2021,6.26,0.56,58,67
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-01-2021,11.41,0.06,58,63
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-01-2021,9.4,0,60,77
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-01-2021,14.09,0,67,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-01-2021,9.84,0.03,61,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-01-2021,15.21,0.16,53,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-01-2021,16.78,0,44,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-01-2021,10.07,0,46,59
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-01-2021,10.74,0,50,72
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-01-2021,20.13,0.03,53,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-02-2021,23.94,0,45,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-02-2021,14.09,0,42,55
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-02-2021,8.95,0,43,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-02-2021,12.75,0,47,72
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-02-2021,15.88,0.12,50,66
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-02-2021,12.3,0.08,51,56
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-02-2021,10.96,0,49,59
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-02-2021,14.09,0,50,66
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-02-2021,6.49,0.08,58,72
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-02-2021,8.28,0,61,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-02-2021,10.74,2.12,53,77
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-02-2021,17.67,1.09,45,56
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-02-2021,19.24,0,43,49
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-02-2021,15.43,0,39,49
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-02-2021,21.03,0.36,30,43
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-02-2021,12.08,0,27,35
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-02-2021,19.24,0.88,32,54
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-02-2021,19.46,0.19,38,49
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-02-2021,17,0,35,51
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-02-2021,8.72,0,35,56
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-02-2021,10.51,0,44,65
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-02-2021,7.38,0,49,67
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-02-2021,4.7,0,46,70
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-02-2021,5.14,0,50,74
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-02-2021,4.92,0,57,72
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-02-2021,8.95,0,60,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-02-2021,9.4,0,,83
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-02-2021,12.97,0,71,85
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-03-2021,10.29,0.02,60,76
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-03-2021,19.01,1.02,48,62
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-03-2021,10.74,0,45,60
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-03-2021,7.16,0,53,67
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-03-2021,6.71,0.02,55,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-03-2021,14.32,0,56,66
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-03-2021,11.86,0,52,67
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-03-2021,9.17,0,53,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-03-2021,10.51,0,54,77
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-03-2021,14.32,0,63,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-03-2021,11.18,0,64,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-03-2021,8.5,0,65,80
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-03-2021,7.83,0,66,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-03-2021,10.74,0,66,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-03-2021,11.63,1.19,70,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-03-2021,11.86,0.01,72,83
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-03-2021,18.57,1.19,67,83
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-03-2021,23.04,0,59,69
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-03-2021,18.12,0,55,60
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-03-2021,10.96,0,54,64
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-03-2021,8.72,0,57,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-03-2021,11.41,0,57,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-03-2021,16.78,4.71,62,75
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-03-2021,12.97,1.22,62,74
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-03-2021,17.67,0,73,80
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-03-2021,8.5,0.01,70,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-03-2021,13.42,0,75,86
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-03-2021,15.21,0.02,63,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-03-2021,14.09,0,59,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-03-2021,11.18,0.01,66,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-03-2021,15.66,0.08,60,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-04-2021,25.5,0,54,67
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-04-2021,12.3,0,50,64
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-04-2021,8.5,0,52,69
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-04-2021,7.16,0,59,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-04-2021,6.26,0,58,76
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-04-2021,10.29,0.01,65,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-04-2021,13.87,0,70,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-04-2021,9.4,2.4,66,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-04-2021,13.42,0.04,74,87
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-04-2021,11.41,2.24,64,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-04-2021,8.05,0,68,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-04-2021,7.61,0,65,83
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-04-2021,16.78,1.67,66,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-04-2021,14.09,1.4,67,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-04-2021,11.18,0.68,68,74
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-04-2021,12.08,0.85,62,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-04-2021,14.76,0.78,63,74
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-04-2021,14.99,0,59,76
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-04-2021,10.96,0,61,77
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-04-2021,7.38,0,71,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-04-2021,17.9,0,57,75
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-04-2021,13.42,0,59,69
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-04-2021,14.54,0,62,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-04-2021,18.79,0.08,69,86
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-04-2021,10.07,0,62,76
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-04-2021,8.28,0,64,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-04-2021,11.41,0,71,87
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-04-2021,13.2,0,75,87
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-04-2021,9.4,0,75,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-04-2021,7.38,0,73,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-05-2021,12.53,0,71,80
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-05-2021,13.2,0.25,71,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-05-2021,14.76,0.05,75,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-05-2021,13.87,2.11,72,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-05-2021,11.86,1.39,71,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-05-2021,12.3,0,69,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-05-2021,8.5,0,65,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-05-2021,10.29,0,68,86
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-05-2021,12.75,0,70,86
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-05-2021,8.95,2.78,71,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-05-2021,9.84,0.7,71,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-05-2021,12.08,1.16,70,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-05-2021,13.42,0,68,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-05-2021,9.4,0,69,80
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-05-2021,9.17,0,67,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-05-2021,11.18,0,68,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-05-2021,12.08,0.56,72,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-05-2021,12.3,1.55,69,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-05-2021,17.45,0.49,74,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-05-2021,21.25,0.08,75,80
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-05-2021,20.8,0.57,74,80
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-05-2021,14.54,0,74,81
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-05-2021,9.4,0,72,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-05-2021,7.61,0,73,83
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-05-2021,8.5,0,72,87
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-05-2021,5.82,0,73,90
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-05-2021,7.61,0,76,89
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-05-2021,11.41,0,76,89
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-05-2021,10.29,0,76,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-05-2021,12.08,0,66,82
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-05-2021,10.96,0,72,86
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-06-2021,10.51,0,74,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-06-2021,7.61,0.42,76,85
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-06-2021,5.37,0.35,75,87
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-06-2021,5.14,0.17,75,85
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-06-2021,11.41,0.38,72,78
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-06-2021,11.63,0.43,75,84
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-06-2021,12.08,0,75,91
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-06-2021,10.51,0,80,91
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-06-2021,8.05,0,79,90
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-06-2021,8.5,0,77,92
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-06-2021,9.4,0,80,92
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-06-2021,8.95,0,80,91
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-06-2021,13.2,0.24,76,94
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-06-2021,6.71,0,77,94
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-06-2021,7.61,0,82,94
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-06-2021,8.95,0,83,93
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-06-2021,13.65,0,81,90
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-06-2021,15.43,2.08,74,83
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-06-2021,15.66,0.02,77,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-06-2021,12.53,0.03,78,89
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-06-2021,11.41,4.17,75,90
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-06-2021,5.37,0.07,77,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-06-2021,6.04,0.35,79,89
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-06-2021,5.59,0.9,78,92
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-06-2021,7.38,1.08,75,86
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-06-2021,10.96,0,79,90
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-06-2021,10.51,0.81,77,87
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-06-2021,10.51,0.25,77,88
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-06-2021,7.83,0.1,78,87
