country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,69.6k,74.3k,79.8k,89.1k,99k,115k,136k,179k,280k,388k,629k,931k,1.39M,1.52M,2.08M,5.08M,5.55M,6.17M,6.19M,7.11M,8.87M,10.7M,11.7M,14M,14.7M,15.4M,19.1M,19.2M,19.9M,20.9M,20.8M,20.2M,20.5M,20.4M,19.9M,19.7M,19.4M,20M,22.2M,24M,25M,26.9M,28.7M,30.2M,29.4M,31.3M,33.8M,35.2M,39M,39.3M,42.2M,44.9M,44.2M,46M,44.6M
Argentina,22M,22.8M,23.3M,23.8M,24.7M,22.1M,23.6M,23.6M,23.7M,23.9M,22.4M,23.3M,24.5M,24.5M,25.9M,24.3M,22.4M,21.5M,22M,20.7M,18.7M,21.6M,23M,23M,20.9M,19.7M,20.2M,21.3M,21.1M,20.3M,20.3M,21.1M,21.1M,21.6M,20.1M,20.3M,19.6M,18.1M,18.6M,19.5M,20.8M,21.8M,24.2M,24.9M,24.3M,27.5M,27.4M,28.6M,30.7M,30.1M,30.9M,30.2M,29.4M,28.1M,27.6M
Australia,15.1M,18M,19.7M,21.5M,22.1M,24.4M,25.7M,26.1M,27.9M,29.5M,29.1M,29.8M,31.2M,31.2M,31.8M,30.4M,29.4M,29.5M,29M,30.4M,28.9M,29.6M,30.2M,31.6M,32.7M,33.2M,32.3M,32.4M,34.1M,35.3M,36.5M,37M,37.7M,37.6M,38.8M,38.6M,38.8M,38.7M,38.6M,39.7M,39.4M,42.7M,42.1M,42.2M,42M,41.6M,44.4M,46.1M,46.9M,47.4M,45.6M,46M,48.1M,49.5M,49.1M
Austria,5.56M,6.12M,6.51M,7.54M,8.28M,9.1M,10.2M,11M,11.9M,10.6M,10.7M,11.7M,11.1M,12M,12.5M,12.2M,11M,10.5M,10.1M,9.82M,9.84M,10.4M,10.7M,10.6M,10.4M,10.8M,11.7M,11.4M,11.5M,11.3M,11.3M,11.7M,11.9M,12.4M,12.1M,11.8M,12.9M,13.1M,14.2M,13.8M,13.8M,13.8M,12.9M,12.8M,12.2M,12.7M,11.9M,11.9M,12.2M,11.7M,11.7M,12.1M,12.3M,12.4M,12.7M
Azerbaijan,,,,,,,,,,,,,,,,,,,,,8.25M,8.65M,8.14M,8.34M,8.14M,8.54M,8.24M,8.03M,8M,7.3M,6.58M,5.94M,5.65M,5.95M,5.73M,6.33M,4M,3.67M,4.27M,4.6M,5.38M,4.81M,4.52M,3.59M,3.31M,3.26M,3.99M,4.17M,4.54M,4.45M,4.54M,4.52M,4.56M,4.78M,4.93M
Belgium,15.9M,16.3M,17.9M,20.9M,24.1M,26.2M,26.9M,29.1M,30.6M,26.9M,25.4M,26.5M,26.1M,27.8M,27.6M,25.6M,23.4M,22.2M,20.1M,19.4M,19.7M,22.3M,22.4M,23.1M,22.7M,24.2M,26M,26.4M,26M,28.2M,27.9M,30.3M,31M,31.4M,30.3M,31.2M,31.6M,31.9M,33.6M,33.9M,33.7M,33.7M,34.1M,35.7M,32M,33.1M,30.9M,29.9M,30.6M,30.1M,31M,31.6M,32.2M,32.8M,32M
Bangladesh,,,,,,,676k,835k,947k,982k,1.15M,1.24M,1.22M,1.3M,1.44M,1.63M,1.68M,1.65M,1.48M,1.49M,1.66M,1.79M,1.76M,1.76M,1.92M,1.86M,1.72M,1.92M,2.16M,2.25M,2.93M,2.99M,3.43M,3.79M,3.37M,3.32M,3.96M,3.96M,4.11M,3.85M,3.87M,3.92M,3.7M,3.77M,3.52M,3.92M,5.08M,5.44M,5.33M,5.99M,6.34M,6.96M,7.79M,8.9M,8.53M
Bulgaria,3.7M,4.23M,5.32M,6.3M,7.74M,8.99M,9.89M,10.3M,10.8M,11.3M,12M,12.4M,12.9M,13.3M,13.7M,14M,12.5M,12.1M,11.6M,11.2M,10.4M,10.9M,10.5M,11.1M,10.8M,9.9M,6.73M,5.94M,6.4M,6.06M,6.21M,5.79M,4.51M,4.77M,4.37M,4.23M,4.54M,4.64M,4.8M,4.68M,5.14M,5.3M,5.2M,4.97M,4.57M,4.15M,3.91M,4.11M,3.81M,4.05M,4.56M,4.59M,4.81M,4.8M,5.07M
Belarus,,,,,,,,,,,,,,,,,,,,,25.4M,30M,29.7M,28.7M,26.9M,24.9M,24.1M,20.5M,14.5M,11.8M,10.7M,10.6M,9.2M,8.69M,7.98M,7.87M,7.68M,8M,8.18M,8.16M,7.57M,8.85M,8.07M,7.96M,9.24M,7.41M,8.46M,10.4M,7.05M,8.05M,6.85M,6.71M,6.7M,7.28M,7.48M
Brazil,14.8M,16.2M,16.7M,20M,22M,24.9M,27.4M,31.5M,38.8M,41.9M,43.2M,46.8M,47.9M,52.2M,54.8M,52.9M,50.3M,50.9M,48.2M,48.8M,49.6M,54.7M,56.3M,57.3M,57.6M,56.8M,57.5M,62.3M,64.7M,69M,72M,76.6M,82.2M,85.7M,86.8M,85.8M,87.9M,86.1M,83.5M,86.2M,88.4M,90.1M,93.9M,98.2M,97.4M,106M,113M,116M,123M,127M,118M,112M,114M,109M,110M
Canada,53.8M,56.7M,60.6M,64.5M,67.1M,71.6M,73.5M,77.4M,81.7M,83M,81.1M,85.4M,86.3M,88M,91.5M,90.1M,84.2M,75.4M,70.5M,71.2M,71.2M,71.4M,74.1M,78M,81M,79.8M,75.3M,76.8M,77.1M,78.4M,81.1M,83.5M,86.7M,88.6M,90M,90.1M,91.3M,93.8M,97.3M,101M,100M,98.7M,102M,100M,94.4M,102M,104M,101M,101M,103M,99.8M,101M,101M,105M,103M
Switzerland,8.04M,8.55M,9.26M,10.3M,11.2M,12.5M,13.3M,13.6M,14.7M,13M,12.5M,13M,13.1M,13.4M,12.9M,12.8M,11.9M,11.2M,12.3M,11.8M,12M,13.2M,12.4M,12.4M,11.9M,12.8M,13M,13.1M,12.3M,12.7M,11.8M,12.2M,12.8M,13M,12.6M,12.2M,13.1M,12.4M,12.1M,12M,12.2M,12.6M,11.3M,12.1M,12.2M,11.4M,11M,11.2M,11.8M,10.5M,10.7M,10.1M,10.3M,9.96M,10.2M
Chile,3.49M,3.82M,3.98M,4.19M,4.45M,4.7M,5.21M,5.52M,5.25M,5.03M,4.38M,4.65M,4.76M,5.21M,5.26M,5.31M,5.49M,4.84M,4.71M,4.71M,4.59M,4.91M,5.13M,5.65M,6.25M,6.59M,7.36M,7.97M,8.68M,9.33M,10.3M,10.9M,11.7M,12M,12.1M,11.8M,11.2M,11.7M,11.3M,12M,12.5M,13.9M,17.9M,18.6M,18.2M,16M,17.6M,17.5M,16.8M,16.3M,16.5M,17.5M,16.7M,17.2M,17.4M
China,11M,14.1M,13.9M,15.2M,20.4M,28.2M,38.4M,44.2M,53.8M,61.9M,68.3M,78M,82.4M,91.3M,91.1M,86.7M,82.2M,81.3M,83M,86M,89.7M,95.4M,101M,109M,114M,113M,122M,132M,146M,148M,160M,176M,192M,197M,209M,224M,229M,248M,276M,323M,328M,352M,369M,376M,391M,446M,462M,484M,505M,524M,558M,571M,596M,620M,650M
Colombia,3.84M,4.4M,4.43M,4.93M,4.74M,5.34M,5.53M,6.3M,6.02M,6.67M,6.72M,7.09M,7.1M,7.22M,7.67M,7.29M,7.47M,7.66M,7.92M,7.88M,8.18M,8.09M,8.51M,8.96M,9.19M,9.33M,9.57M,10.5M,11.2M,11.6M,12.2M,12.6M,12.8M,12.5M,11.1M,10.9M,10.2M,10M,10.4M,10.4M,10.9M,10.7M,10.6M,11.5M,10.5M,11.8M,12.6M,13.7M,13.8M,14.7M,15.5M,16M,15.7M,15.8M,16.1M
Cyprus,394k,450k,487k,542k,640k,674k,805k,907k,974k,868k,718k,730k,833k,849k,861k,868k,832k,998k,1.05M,1.06M,1.05M,1.14M,1.34M,1.44M,1.48M,1.56M,1.63M,1.86M,1.96M,1.94M,2.06M,2.1M,2.15M,2.34M,2.46M,2.56M,2.57M,2.54M,2.7M,2.63M,2.95M,2.91M,2.96M,3.03M,2.96M,2.85M,2.8M,2.6M,2.31M,2.33M,2.38M,2.59M,2.65M,2.62M,2.6M
Czech Republic,4M,4.42M,4.92M,5.42M,5.82M,6.98M,7.68M,8.42M,9.47M,9.72M,10.7M,11.3M,11.9M,12.3M,12.5M,11.6M,11.4M,10.4M,10.2M,10.8M,10.6M,10.2M,10.3M,9.86M,9.38M,8.45M,7.09M,6.78M,6.87M,7.05M,7.99M,8.34M,7.93M,8.22M,8.15M,7.87M,8.32M,8.07M,8.63M,9.51M,9.93M,9.8M,9.72M,9.77M,9.42M,8.9M,9.05M,8.92M,8.53M,9.02M,8.89M,8.27M,9.7M,9.82M,9.89M
Germany,86.3M,96.5M,100M,112M,126M,139M,144M,152M,162M,147M,143M,154M,152M,158M,163M,147M,133M,126M,123M,122M,126M,133M,129M,129M,122M,127M,133M,134M,136M,135M,135M,137M,136M,136M,132M,130M,131M,127M,124M,123M,120M,120M,109M,116M,111M,112M,108M,108M,110M,107M,107M,109M,111M,106M,107M
Denmark,10.4M,11.9M,12.6M,13.6M,16.4M,18.3M,18M,19.1M,17.6M,16M,15.7M,16.7M,16.7M,16.7M,15.9M,13.6M,12.8M,11M,10.4M,10.3M,10.6M,10.5M,9.64M,9.58M,9.23M,9.03M,9.16M,9.07M,9.52M,10.1M,10.6M,11.5M,11.1M,10.7M,10.6M,10.3M,9.92M,9.58M,9.23M,9.06M,9.15M,9.33M,9.39M,9.2M,8.25M,8.33M,8.08M,7.49M,7.46M,7.5M,7.58M,7.44M,7.45M,7.53M,7.74M
Algeria,1.29M,1.69M,1.58M,1.68M,1.77M,2.03M,2.29M,2.51M,2.74M,3.04M,3.38M,3.88M,4.4M,4.52M,5.42M,5.47M,5.89M,6.25M,7.01M,7.76M,7.97M,8.08M,8.16M,8.17M,8.55M,9.16M,9.07M,9.11M,9.08M,8.67M,8.43M,8.06M,7.99M,8.22M,8.11M,8.48M,8.78M,9.73M,10.1M,10.6M,11M,11.5M,12.9M,14M,14.9M,14.8M,15.8M,16.8M,17.6M,18.3M,19.5M,18.9M,18.6M,19M,20.1M
Ecuador,661k,691k,746k,891k,946k,1.08M,1.19M,1.23M,1.36M,1.56M,1.52M,1.71M,2.13M,2.17M,2.31M,2.96M,3.33M,3.64M,3.34M,3.35M,4.12M,4.19M,4.22M,5.03M,5.23M,5.33M,5.98M,5.95M,5.97M,6.5M,6.39M,7.19M,8.21M,8.27M,7.23M,6.51M,6.77M,6.72M,6.88M,7.23M,7.88M,8.34M,8.48M,8.73M,8.9M,10.3M,10.5M,10.9M,11.6M,12.2M,11.8M,11M,10.8M,11.7M,11.3M
Egypt,6.94M,7.45M,6.06M,6.34M,4.68M,6.08M,6.26M,7.15M,6.72M,7.42M,8.22M,9.71M,10.4M,10.7M,11.8M,13.2M,15.2M,17.2M,19M,20.5M,20.8M,20.9M,21.7M,22M,22.9M,23.8M,23.4M,22.7M,21.6M,21.5M,23.3M,24.6M,26M,27.3M,27.8M,27.2M,26.1M,25.2M,25.9M,26.8M,29.8M,28.7M,30.6M,32.6M,34.4M,36.3M,33.7M,35.3M,35.7M,38.3M,39.8M,40.8M,37.8M,35.3M,34.7M
Spain,14.2M,16.8M,20.3M,21.6M,24.6M,28.1M,30.9M,32.5M,39.1M,41.1M,42.7M,48.3M,45.5M,46.4M,49.1M,52.2M,50.4M,47.8M,47.8M,44.8M,42.9M,42.7M,44.7M,45.8M,48.1M,46.7M,47.8M,54M,51.4M,54M,57.7M,59.4M,61.8M,66.8M,69M,69.9M,73M,73.6M,75.9M,78.3M,79M,79.7M,80M,77.3M,72.4M,70.5M,67.2M,62.9M,58.7M,58.3M,60.4M,62.4M,62.5M,63.8M,63.7M
Estonia,,,,,,,,,,,,,,,,,,,,,3.42M,3.39M,3.42M,3.45M,3.56M,3.51M,3.09M,1.67M,1.79M,1.65M,1.3M,1.39M,1.38M,1.37M,1.24M,1.11M,1.27M,1.42M,1.35M,1.38M,1.4M,1.46M,1.56M,1.48M,1.33M,1.38M,1.33M,1.58M,1.57M,1.45M,1.44M,1.4M,1.47M,1.45M,1.48M
Finland,5.72M,6.92M,7.25M,8.22M,9.56M,10.8M,11.1M,11.9M,13.3M,11.6M,11.9M,12.8M,12.5M,12.5M,13.3M,12.8M,12.3M,11.3M,10.5M,10.6M,10.8M,11.3M,11.2M,11M,11M,11.4M,11.2M,11.1M,10.7M,11.1M,10.1M,10.5M,10.3M,10.8M,10.9M,11M,10.7M,11.2M,11.5M,10.7M,11.1M,10.7M,10.9M,10.6M,9.94M,10.4M,9.88M,9.44M,9.83M,9.26M,9.22M,9.98M,9.5M,9.34M,8.94M
France,53.9M,57.7M,66.2M,71.8M,83M,94.3M,103M,114M,127M,121M,110M,119M,115M,119M,118M,110M,99M,91.5M,89.4M,85.9M,84.3M,86M,86.6M,86M,88.4M,89.4M,94.6M,94.4M,91M,88.1M,88.9M,90.7M,91.3M,94.7M,96.1M,94.6M,95.1M,92.5M,92.7M,93.6M,92.4M,92.2M,89.8M,88.1M,84.6M,81.6M,79.9M,77.1M,76M,73.4M,73.3M,72.9M,73.2M,73M,72.4M
United Kingdom,75M,80.3M,86.2M,91.1M,97.9M,104M,105M,111M,114M,106M,92.2M,91.6M,92.3M,94.3M,94.7M,80.9M,74.7M,75.6M,72.5M,89.7M,77.5M,77.5M,75.2M,80M,81.8M,83M,82.6M,83.7M,84.2M,83.2M,82.2M,84.2M,81.7M,81.2M,79.9M,78.8M,78.7M,78.2M,78.7M,81M,83.9M,83.1M,80.4M,78.8M,74.9M,74M,72.8M,70.8M,69.7M,69.5M,71.3M,73.6M,73.8M,72.7M,71.2M
Greece,4.43M,4.84M,5.69M,5.82M,6.19M,6.71M,7.41M,8.59M,10M,9.39M,9.94M,10.6M,10.8M,11.7M,12.4M,12.4M,11.9M,11.9M,11.4M,11.7M,12M,12.2M,13.2M,13.7M,15M,16.1M,16.3M,16.5M,16.9M,17.3M,18.1M,18.8M,19M,19.9M,19.4M,20.2M,20.6M,20.8M,21.6M,21.3M,21.5M,22.6M,22.9M,21.7M,20.5M,18.6M,17.6M,15.6M,14.8M,14.6M,15.1M,15.2M,15.6M,15.3M,15.9M
"Hong Kong, China",2.12M,2.32M,2.78M,3.04M,3.6M,3.89M,4.1M,4.68M,4.86M,4.97M,4.67M,5.52M,5.97M,6.2M,6.34M,6.49M,6.88M,6.69M,5.94M,5.49M,5.16M,5.02M,4.91M,5.63M,6M,6.28M,6.27M,8.06M,8.39M,8.93M,9.57M,9.38M,9.28M,8.9M,9.48M,9.89M,11.8M,12.8M,12.9M,15.3M,13.8M,14.9M,16M,14.5M,16.5M,17.8M,17.9M,17.2M,17.6M,16.6M,18.2M,18.9M,21.4M,21.6M,20.2M
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,4.58M,3.24M,3.24M,3.43M,3.53M,3.92M,3.71M,3.98M,4.49M,4.43M,3.94M,4.04M,4.24M,4.69M,4.41M,4.56M,4.64M,4.74M,4.49M,4.37M,3.7M,3.51M,3.15M,3.04M,3.19M,3.31M,3.32M,3.56M,3.45M,3.31M
Hungary,3.78M,4.14M,4.38M,4.58M,5.12M,5.93M,6.68M,7.26M,8.15M,8.93M,10M,10.5M,11.2M,12.4M,11.6M,11.3M,10.8M,10.2M,9.67M,10.1M,10.3M,9.53M,10M,9.24M,8.93M,9.27M,8.01M,8.09M,7.69M,8.13M,7.65M,7.04M,7.09M,7.43M,7.14M,6.84M,6.69M,6.4M,6.14M,6.34M,7.35M,7.74M,7.69M,7.29M,6.85M,6.47M,6.92M,6.39M,6.29M,7.02M,7.43M,7.37M,7.86M,8.42M,8.49M
Indonesia,6.12M,5.89M,5.67M,5.99M,6.39M,6.79M,7.02M,7.58M,9.05M,9.46M,10.9M,11.7M,13.8M,15.1M,16.5M,18.4M,20.6M,21.4M,21M,22.1M,21.8M,23.8M,24.8M,26M,27.5M,31.7M,33.6M,36.2M,38M,39M,41.5M,44.1M,48.9M,46.5M,48.7M,54.8M,55.5M,57.5M,58.3M,62.1M,61.5M,58.5M,61.8M,60.1M,60.8M,64.7M,73.1M,75.2M,75.7M,76.2M,70.1M,70.5M,74.2M,77.1M,77.1M
India,12.6M,14.1M,14.6M,16.3M,19.6M,19.5M,20.5M,22.1M,23.3M,22.8M,23.3M,24.6M,26.4M,28.7M,31M,31.6M,34M,35.4M,37.2M,39.9M,43.3M,45.5M,47M,51.5M,55.8M,57.9M,58.8M,61.9M,62.5M,67.2M,75M,80.8M,86.2M,92.3M,101M,106M,107M,114M,117M,120M,123M,129M,139M,146M,154M,157M,164M,175M,176M,182M,197M,218M,226M,235M,242M
Ireland,2.42M,2.7M,3.02M,3.36M,3.65M,4.1M,4.53M,4.98M,5.4M,5.35M,5.23M,5.3M,5.66M,6.04M,6.35M,5.72M,5.06M,4.41M,4.01M,3.94M,3.93M,4.87M,4.26M,3.85M,3.96M,4.41M,4.85M,5.07M,5.14M,5.61M,5.71M,6.01M,6.58M,7.36M,8.34M,8.28M,8.97M,8.79M,8.55M,8.85M,9.31M,9.27M,9.39M,8.96M,7.95M,7.52M,6.93M,6.63M,6.66M,6.61M,6.9M,7.2M,7.15M,7.44M,7.48M
Iran,7.11M,7.77M,8.57M,9.44M,10.3M,11.1M,12.1M,13.5M,16.2M,18.7M,21.8M,24.7M,28.7M,28.8M,30.2M,27.9M,27.7M,30.2M,36.7M,39.7M,43.6M,40.3M,42M,44.3M,47.5M,49.3M,52.3M,55.6M,60.4M,62.8M,62.9M,65.5M,67.6M,65M,65.5M,67.7M,68.1M,68.4M,69.2M,71.2M,78.6M,85.7M,87.9M,92M,91M,82.5M,84.2M,86M,93.9M,87.2M,77.1M,79.2M,79.5M,80.6M,89.4M
Iraq,1.32M,1.43M,1.55M,1.68M,1.81M,2.44M,2.61M,3.24M,3.14M,3.1M,3.08M,3.84M,4.49M,4.21M,5.07M,6.76M,7.25M,7.54M,8.62M,9.4M,11M,11.8M,12.2M,13.3M,14.9M,14.8M,11M,17.5M,24.6M,28.2M,27.4M,28.6M,34.5M,22.9M,16.4M,21.9M,25.3M,23.8M,22.6M,24.4M,22.9M,23.6M,22.6M,22.4M,25.6M,27.3M,30M,32M,34.4M,32.8M,33.2M,37.1M,35.1M,34.3M,34.8M
Iceland,469k,506k,490k,523k,479k,489k,533k,571k,661k,618k,579k,582k,609k,642k,625k,583k,569k,519k,504k,526k,522k,530k,572k,598k,639k,652k,612k,661k,686k,695k,699k,780k,766k,784k,781k,796k,748k,778k,785k,821k,839k,853k,853k,790k,732k,701k,691k,684k,716k,755k,817k,897k,1M,1.07M,934k
Israel,3.88M,4.04M,4.22M,4.4M,4.58M,4.78M,4.99M,5.21M,5.51M,5.62M,5.79M,6.12M,6.4M,6.82M,7.48M,8.01M,8.15M,7.89M,7.44M,6.92M,6.51M,6.75M,7.56M,8.35M,8.57M,8.88M,9.11M,9.58M,9.95M,11M,12.4M,12.4M,11.7M,12.4M,13.2M,13.5M,12.5M,12.4M,12.6M,11.8M,12.2M,11.7M,12.3M,12M,10.8M,11.2M,11.8M,13.9M,10.3M,9.74M,10.4M,10.6M,11.6M,11.4M,11.6M
