country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Italy,52.3M,57.7M,63.7M,70.3M,77.3M,87.3M,93.8M,98.2M,104M,101M,94.5M,98.8M,96.1M,99.8M,103M,97.9M,95.7M,90.7M,89.2M,84.9M,84.4M,86.5M,90.1M,91.7M,93.8M,93.6M,92.4M,94.5M,92.6M,92.5M,95.5M,94.2M,94.6M,94.7M,94.4M,93.5M,92.8M,92.9M,92.1M,89.4M,86.5M,86.5M,83.8M,79.6M,73.8M,71.5M,69M,64.5M,58.7M,55.6M,57.9M,58.3M,58.6M,60.1M,57.6M
Japan,87.9M,100M,123M,143M,169M,199M,220M,234M,269M,259M,244M,254M,260M,267M,269M,241M,228M,212M,211M,222M,210M,212M,213M,229M,238M,246M,250M,256M,250M,265M,269M,271M,267M,256M,261M,257M,249M,244M,250M,244M,247M,238M,231M,225M,200M,202M,203M,217M,207M,197M,189M,183M,180M,176M,174M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,20.7M,18.9M,18.2M,18.3M,18.7M,21.5M,21.7M,20.3M,15.7M,12.3M,12M,10.2M,10.2M,8.51M,7.01M,7.69M,7.71M,7.92M,8.64M,9.03M,9.22M,9.94M,10.9M,11.3M,9.33M,9.83M,11.5M,11.5M,12.1M,12.1M,13.5M,13.9M,14.4M,15.3M,15.8M
South Korea,1.29M,1.93M,3.34M,4.94M,6.71M,8.38M,9.46M,9.88M,12.2M,12.6M,14.2M,15.9M,19M,21.7M,24.4M,24.1M,23.9M,23.7M,24.7M,24.8M,26.1M,28.4M,29.8M,35.6M,41M,49.5M,59.9M,72.3M,79.3M,87M,94.8M,101M,111M,93.9M,101M,104M,104M,105M,106M,105M,105M,105M,108M,103M,104M,105M,106M,109M,108M,108M,114M,123M,123M,122M,120M
Kuwait,5.45M,5.32M,5.2M,5.09M,4.98M,4.87M,4.81M,5.24M,4.98M,4.57M,3.65M,4.24M,4.1M,4.4M,4.91M,4.19M,5.72M,6.59M,7.24M,7.62M,7.52M,7.75M,7.66M,7.52M,7.58M,3.27M,3.49M,4.92M,5.09M,6.86M,7.08M,6.91M,7.51M,10.5M,11.7M,11.8M,12.2M,13.2M,15.6M,17.8M,19.5M,17.7M,17.9M,19M,20.4M,21.1M,19.5M,21.8M,22.7M,19.4M,20.3M,21.1M,18.6M,18.3M,17.9M
Sri Lanka,456k,467k,478k,490k,501k,1M,909k,998k,1.04M,825k,798k,791k,839k,976k,1.01M,1.01M,1.19M,1.34M,1.47M,1.23M,1.14M,1.14M,1.3M,1.26M,1.2M,1.27M,1.35M,1.59M,1.54M,1.71M,1.85M,2.26M,2.45M,2.62M,2.86M,3.4M,3.34M,3.51M,3.48M,3.47M,3.94M,4.11M,4.37M,3.97M,4.19M,4.16M,4.45M,4.6M,3.86M,3.36M,4.14M,4.87M,5.22M,5.2M,5.61M
Lithuania,,,,,,,,,,,,,,,,,,,,,8.68M,7.26M,7.97M,7.66M,7.86M,7.51M,8.26M,4.34M,3.79M,3.52M,3.17M,3.3M,3.26M,3.76M,3.08M,2.37M,2.74M,2.53M,2.42M,2.6M,2.77M,2.78M,2.72M,2.98M,2.57M,2.64M,2.55M,2.61M,2.54M,2.48M,2.71M,2.95M,3.07M,3.24M,3.23M
Luxembourg,831k,947k,1.05M,1.16M,1.28M,1.35M,1.41M,1.48M,1.64M,1.48M,1.31M,1.42M,1.4M,1.4M,1.29M,1.07M,1.03M,1.02M,970k,971k,1.03M,1.13M,1.28M,1.31M,1.45M,1.58M,1.84M,1.89M,1.89M,1.88M,1.76M,1.83M,1.91M,1.98M,2.12M,2.28M,2.42M,2.46M,2.65M,3M,3.08M,2.93M,2.85M,2.88M,2.69M,2.82M,2.88M,2.78M,2.74M,2.64M,2.59M,2.59M,2.71M,2.87M,2.92M
Latvia,,,,,,,,,,,,,,,,,,,,,5.74M,4.83M,3.93M,3.52M,3.52M,3.32M,3.22M,2.45M,2.19M,2.08M,1.87M,1.97M,1.75M,1.67M,1.55M,1.27M,1.47M,1.46M,1.47M,1.58M,1.67M,1.57M,1.7M,1.68M,1.53M,1.72M,1.58M,1.58M,1.59M,1.6M,1.68M,1.73M,1.77M,1.64M,1.8M
Morocco,955k,1.39M,1.52M,1.67M,1.81M,1.89M,2M,2.12M,2.54M,2.73M,2.82M,3.08M,3.48M,3.74M,4.24M,4.3M,4.23M,4.45M,4.5M,4.68M,4.66M,4.57M,4.56M,4.87M,5.36M,5.54M,5.53M,6.54M,6.64M,7.22M,6.82M,6.41M,6.82M,6.75M,7.45M,6.95M,6.94M,7.23M,7.22M,8.61M,9.37M,9.49M,9.9M,10.9M,11M,12.3M,13.1M,13.2M,13.4M,12.7M,12.3M,12.6M,13.3M,13M,13.3M
Mexico,14.8M,15.5M,16.6M,18.1M,19.1M,20.5M,21.8M,24.5M,26.2M,29.7M,32.8M,36.2M,37.4M,42M,45M,50.2M,54.8M,56.6M,55.2M,58.5M,60.9M,61.5M,64.6M,64.4M,68.9M,72M,74.8M,75.6M,75.4M,81.5M,75.8M,77.6M,80.3M,84.5M,83.7M,87.7M,86.2M,82.3M,84.7M,88.2M,90.5M,89.3M,92.7M,92.5M,89.3M,89.4M,91M,92.9M,90.3M,85.9M,84.9M,85.3M,81.8M,79.2M,74.9M
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,1.08M,962k,1.04M,1.12M,866k,810k,1.23M,1.03M,934k,934k,962k,795k,896k,865k,883k,912k,960k,1.04M,938k,969k,935k,973k,942k,917k,911k,973k,1.08M,1.02M,977k,1.06M
Malaysia,2.28M,2.66M,2.71M,2.75M,2.84M,3.13M,3.43M,3.81M,4.12M,4.11M,4.33M,4.84M,5.51M,5.94M,7.21M,8.15M,8.69M,9.07M,9.71M,9.54M,9.51M,9.1M,9.34M,10.1M,10.5M,12.6M,13.6M,14.9M,16.4M,18M,18.9M,20.6M,23.9M,20.3M,22.3M,22.4M,23.3M,26M,27.6M,28M,28M,28.9M,30.8M,29.4M,29.2M,29.2M,31.5M,32.8M,34.9M,35M,32.2M,36.2M,34.1M,34.7M,35.3M
Netherlands,25.3M,27.4M,28M,30.1M,32.9M,36.5M,36M,40.1M,41.3M,35.4M,34.8M,39.2M,37.6M,38.4M,41.5M,38.8M,36.2M,31.5M,29.7M,29.4M,29.6M,32.8M,33M,35.1M,34.6M,35.9M,34.6M,36.2M,35.8M,35.5M,37.4M,37.5M,39M,39.4M,40.2M,40.8M,42.8M,42.9M,42.9M,44.8M,47.7M,47.6M,48.7M,46.3M,44.2M,44.9M,45.7M,43.3M,41M,39.1M,38.3M,39.6M,38M,38.9M,38.3M
Norway,5.11M,5.76M,5.96M,6.63M,7.29M,8.2M,8.09M,8.48M,8.61M,7.84M,8.1M,8.96M,8.82M,9.85M,9.79M,9.39M,8.73M,8.37M,8.27M,8.56M,8.99M,9.7M,9.59M,8.98M,9.11M,8.75M,8.06M,8.33M,8.78M,8.99M,8.88M,9.55M,9.67M,9.68M,9.59M,8.87M,10.1M,9.73M,10M,9.82M,9.81M,10M,9.98M,9.89M,9.96M,10.4M,10.1M,9.98M,10.2M,9.52M,9.69M,9.26M,9.17M,9.54M,8.94M
New Zealand,2.72M,3.01M,3.17M,3.25M,3.38M,3.98M,4.1M,4.42M,4.68M,4.49M,4.34M,4.46M,4.46M,4.26M,4.31M,4.13M,3.9M,3.89M,3.74M,3.79M,3.57M,3.25M,3.9M,3.78M,3.83M,4.26M,4.35M,4.44M,4.46M,5.14M,5.59M,5.69M,5.96M,6.06M,6.13M,6.26M,6.29M,6.5M,6.91M,6.9M,7.1M,7.17M,7.23M,7.3M,7.02M,7.02M,7.24M,7.12M,7.17M,7.31M,7.63M,7.79M,8.12M,8.14M,8.18M
Oman,442k,461k,481k,503k,524k,548k,1.33M,1.53M,1.33M,1.21M,1.1M,1.26M,1.21M,1.15M,1.19M,885k,867k,1.32M,992k,1.65M,1.41M,968k,1.12M,1.01M,1.35M,2.04M,3.4M,2.99M,2.85M,2.48M,2.74M,2.63M,2.3M,2.31M,2.98M,3.19M,3.55M,4.16M,3.99M,3.9M,4.34M,4.51M,4.3M,5.85M,5.56M,6.35M,6.64M,7.21M,8.37M,8.58M,8.62M,8.85M,11.6M,13.6M,14.1M
Pakistan,3.78M,3.88M,4.33M,4.94M,4.63M,4.58M,4.29M,3.55M,3.64M,3.92M,4.07M,4.06M,4.27M,4.5M,4.8M,5.01M,5.33M,5.86M,6.47M,7.03M,7.5M,8.08M,8.85M,9.53M,10.2M,10.7M,11.3M,12.3M,13.5M,14.4M,15.7M,16.5M,17M,17.6M,18.2M,18.8M,18.5M,18M,15.9M,16M,15.2M,17.6M,19.1M,19.4M,20.7M,20.5M,20.7M,20M,21.9M,22.6M,24.6M,27.5M,28.3M,23.4M,20.7M
Peru,3.75M,4.68M,4.71M,4.74M,4.68M,4.92M,4.86M,4.15M,4.92M,5.84M,5.9M,5.95M,5.94M,5.87M,6.13M,6.6M,6.73M,6.55M,5.77M,5.96M,5.85M,6.23M,6.7M,6.6M,5.83M,5.82M,5.39M,5.63M,5.88M,6.4M,7.26M,7.52M,7.78M,7.49M,7.69M,7.5M,7.07M,6.99M,6.59M,7.34M,7.26M,6.88M,7.23M,8.04M,8.25M,8.51M,9.87M,9.34M,9.81M,9.62M,10.6M,11.2M,11M,11.3M,11.5M
Philippines,4.18M,4.56M,5.14M,5.88M,6.3M,7.18M,8.32M,8.16M,9.6M,8.98M,9.68M,9.95M,10.9M,11.2M,11.6M,10.9M,10.2M,9.84M,10.3M,8.4M,7.45M,7.83M,9.1M,9.81M,11M,11.5M,11.1M,13.7M,14.1M,14.9M,16.8M,17.5M,18.8M,19.1M,18M,16.6M,16.5M,15.6M,15.5M,15.9M,14.8M,13.3M,13.8M,13.2M,13.7M,14.3M,13.5M,14M,14.7M,15.6M,17.7M,19M,20.3M,20.4M,20.8M
Poland,5.41M,5.62M,6.09M,7.62M,8.39M,8.86M,9.42M,10.6M,11.7M,12.4M,13.5M,14.9M,15.9M,17.1M,17.4M,17.1M,16.1M,15.2M,15.7M,16.1M,16.4M,16.9M,17.1M,17.5M,17.3M,15.8M,14.9M,13.6M,14M,14.8M,14.9M,17.5M,18.2M,20.8M,21.8M,20M,19.5M,19.9M,20.2M,21.5M,22.3M,24.1M,24.9M,25.6M,25.4M,26.8M,26.7M,25.7M,23.8M,23.9M,25M,27.5M,29.8M,30.6M,30.9M
Portugal,2.57M,2.63M,2.9M,3.11M,3.26M,4.52M,5.13M,5.57M,6.13M,6.54M,6.85M,7.18M,7.09M,7.35M,7.87M,8.44M,8.96M,9.36M,9.46M,9.43M,9.09M,9.67M,9.37M,9.77M,12.4M,11.3M,11.8M,13.1M,12.3M,12.2M,13.9M,13.2M,14.2M,15.6M,16.2M,15.8M,15.9M,16.3M,15.3M,15.6M,16.2M,14.3M,14.4M,14M,13M,12.6M,11.9M,10.8M,11.1M,11M,11.2M,11.1M,11.5M,11.2M,11.8M
Qatar,47k,47k,71k,92k,107k,93k,89k,106k,138k,188k,224k,308k,410k,398k,432k,693k,756k,1.05M,1.15M,1.3M,1.82M,2.15M,2.29M,1.5M,1.66M,1.72M,1.47M,1.53M,1.56M,1.66M,1.75M,1.85M,1.96M,2.01M,1.97M,1.7M,2.07M,2.68M,2.81M,2.97M,3.57M,4.64M,5.25M,6.27M,6.04M,6.48M,7.98M,8.22M,9.32M,9.78M,11.4M,12M,10.6M,11M,11.9M
Romania,7.15M,7.45M,8.43M,8.87M,9.89M,10.7M,10.9M,11.6M,13.1M,12.1M,13.7M,15.2M,16.5M,18.4M,19.6M,18.6M,16.7M,16.4M,14.6M,14M,15M,16.2M,17.8M,16.6M,17.2M,18.7M,15.6M,12.7M,12.1M,11.2M,13.5M,13M,13.7M,12M,9.48M,9.98M,10.6M,10.6M,9.43M,10.9M,10.5M,10.3M,10.3M,10.3M,9.01M,8.6M,8.89M,8.98M,8.21M,8.79M,8.95M,9.41M,9.85M,10.1M,10.6M
Russia,,,,,,,,,,,,,,,,,,,,,247M,250M,252M,251M,255M,252M,245M,235M,196M,173M,151M,130M,128M,123M,126M,123M,127M,122M,126M,125M,125M,130M,130M,134M,128M,133M,142M,145M,144M,152M,144M,148M,146M,149M,151M
Saudi Arabia,19.6M,19.7M,19.9M,20.1M,20.3M,21M,21.3M,22.7M,24.1M,25.3M,19.3M,22.5M,26M,28.1M,34M,27.7M,33.4M,37.2M,41.2M,46M,46.8M,46M,48.8M,50.1M,48.1M,51.2M,53.5M,51.8M,52.1M,63M,60.2M,62.2M,63.2M,67.4M,69.9M,72.1M,75.9M,78.2M,82.9M,89.6M,94.2M,98.4M,104M,114M,126M,137M,139M,146M,147M,161M,167M,165M,162M,157M,159M
Singapore,4.11M,4.7M,5.66M,7.04M,6.92M,7.51M,6.51M,8.17M,7.68M,7.56M,7.39M,8.78M,8.81M,9.05M,9.65M,9.58M,11M,10.7M,11.4M,11.9M,12.1M,14.1M,14.8M,17.1M,19.6M,23.3M,23.7M,24.6M,26.6M,30.6M,32M,32.3M,34M,34.4M,34M,36.2M,38.9M,37.9M,35.2M,39M,41.4M,44.5M,48.3M,51.4M,55.5M,60.9M,63.7M,63.4M,63.7M,65.3M,69M,71.7M,73.6M,74.2M,72.2M
Slovak Republic,2.3M,2.54M,2.83M,3.12M,3.35M,4.01M,4.42M,4.84M,5.44M,5.59M,6.16M,6.52M,6.81M,7.05M,7.16M,6.67M,6.57M,5.99M,5.87M,6.22M,6.18M,5.97M,5.87M,5.73M,5.67M,4.97M,4.35M,3.92M,3.24M,3.35M,3.24M,3.4M,3.39M,3.79M,3.43M,3.41M,3.16M,3.54M,3.33M,3.18M,3.82M,3.38M,3.56M,3.85M,3.62M,3.79M,3.67M,3.48M,3.48M,3.23M,3.49M,3.61M,4.07M,4.12M,3.93M
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,1.66M,1.61M,1.56M,1.87M,2.03M,2.2M,2.54M,2.54M,2.44M,2.46M,2.32M,2.42M,2.35M,2.39M,2.49M,2.53M,2.66M,2.62M,3.04M,2.57M,2.58M,2.57M,2.52M,2.39M,2.37M,2.33M,2.5M,2.56M,2.64M,2.47M
Sweden,19.4M,22M,21.9M,24.8M,26.6M,29M,27.2M,27.9M,28.5M,25.6M,25.5M,28.2M,27.3M,33.1M,35.7M,31.5M,28.3M,26.3M,22.8M,21.7M,23.4M,24.9M,21.4M,19.9M,19.2M,19.2M,16.4M,17.3M,17M,18M,17.1M,18.3M,17.2M,19.4M,18.7M,16M,16.2M,16.5M,17.8M,17M,17.1M,17.2M,16.8M,15.9M,15.3M,15.2M,14.1M,13.9M,13.7M,13.4M,13.2M,13.6M,13.5M,13M,13.3M
Thailand,2.3M,2.72M,3.02M,3.99M,4.33M,5.05M,5.63M,7.08M,7.5M,7.66M,8.25M,8.7M,9.78M,11M,11.1M,11.6M,11M,10M,11.2M,11.6M,11M,11.5M,12.6M,14.2M,16.7M,20.1M,21.5M,24.2M,27.9M,31.2M,34M,37.4M,37.7M,34.5M,36.7M,34.8M,34.2M,38.1M,42.3M,45.7M,45.8M,44.9M,45.3M,43.7M,45.5M,46.9M,48.8M,51.1M,53M,53M,56.2M,58.4M,59.8M,60.8M,61.6M
Turkmenistan,,,,,,,,,,,,,,,,,,,,,4.86M,3.54M,3.53M,3.53M,3.53M,4.61M,5.16M,5.01M,2.85M,2.86M,2.63M,3.06M,2.99M,3.83M,4.19M,4M,3.8M,4.35M,4.96M,4.94M,4.98M,4.85M,5.09M,5.22M,5.02M,5.55M,5.77M,6.01M,6.18M,6.46M,6.51M,6.46M,6.47M,6.68M,7.12M
Trinidad and Tobago,1.9M,1.91M,2M,2.04M,2.13M,2.19M,2.26M,3.73M,3.75M,3.7M,2.82M,3.18M,3.1M,2.77M,2.12M,1.67M,1.65M,1.84M,1.58M,1.35M,1.44M,1.56M,1.02M,920k,826k,1.26M,1.18M,1.71M,1.49M,1.12M,1.28M,1.49M,848k,980k,1.77M,1.74M,1.61M,1.84M,1.75M,1.92M,1.68M,1.84M,2.11M,2.24M,2.15M,2.23M,2.09M,1.99M,2.25M,2.01M,2.2M,2.33M,2.16M,2.05M,1.92M
Turkey,3.56M,4.25M,4.99M,6.03M,6.71M,7.1M,8.43M,9.55M,11.7M,11.3M,12.5M,14.1M,15.9M,16.9M,15.1M,15.4M,15.2M,16.2M,17M,17M,17.8M,19.2M,21.6M,23.1M,21.6M,22.9M,22.4M,23.6M,27.1M,25.8M,29M,30.3M,29.8M,29.8M,29.6M,31M,28.8M,30.9M,30.5M,31.1M,30.7M,32M,32.6M,32.1M,32.6M,31.8M,31.1M,33.1M,35.6M,36.4M,43.8M,47M,49.3M,47.4M,47.9M
Taiwan,2.16M,2.56M,3.05M,3.64M,4.37M,5.25M,7.37M,8M,10.2M,9.15M,10.6M,13.7M,15.1M,17.7M,17.7M,18.4M,16.1M,15.5M,15.8M,15.4M,18.9M,20.8M,21.7M,24.9M,27.7M,28.6M,29.7M,30.4M,32.6M,34.4M,37.2M,37.3M,38.8M,40.1M,43.2M,44.5M,45.6M,45.8M,47.7M,49.9M,49.5M,49.4M,51.4M,46.1M,46.2M,47.1M,42.8M,42.7M,43.5M,45M,45.3M,46.6M,46.4M,46.5M,44.1M
Ukraine,,,,,,,,,,,,,,,,,,,,,64.3M,64.5M,67.1M,61.6M,58.8M,63.8M,58.1M,42.9M,25M,19.9M,19M,14.3M,13.9M,14.4M,12.8M,12.1M,13.5M,13.3M,13.6M,14.3M,13.7M,14.2M,14.4M,14.2M,13.5M,12.6M,13.1M,12.5M,11.8M,10.1M,8.94M,9.5M,9.68M,9.5M,10.1M
United States,551M,579M,601M,643M,678M,706M,730M,789M,833M,800M,783M,841M,888M,870M,851M,788M,734M,694M,689M,713M,710M,740M,755M,787M,786M,769M,752M,768M,774M,794M,792M,821M,831M,847M,870M,878M,878M,878M,891M,925M,927M,915M,908M,847M,801M,813M,796M,778M,791M,796M,813M,818M,826M,844M,842M
USSR,168M,180M,196M,209M,223M,245M,260M,282M,303M,333M,349M,358M,372M,395M,402M,421M,425M,422M,416M,416M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,11.6M,11.9M,11.3M,13.9M,13.3M,10.1M,10.7M,8.68M,9.22M,7.92M,6.67M,6.61M,7.01M,6.89M,7.1M,7.09M,6.8M,6.68M,7.26M,7.46M,5.13M,5.14M,4.66M,4.56M,4.28M,3.62M,3.41M,3.03M,2.86M,2.7M,2.51M,2.32M,2.23M,2.15M,2.09M
Venezuela,9.56M,9.37M,9.54M,10.4M,10.3M,10.7M,10.8M,11.8M,12.9M,12.9M,13.8M,13.6M,15.3M,15.9M,17M,20.8M,22M,21.7M,21.2M,19.9M,20.4M,21.3M,20.2M,20.9M,20.4M,20.6M,19.5M,23.4M,21M,23.7M,22.6M,18.2M,19.7M,22.1M,23.8M,23.9M,27M,28.2M,24.1M,26M,28.3M,31.5M,29.7M,33.8M,34.2M,34.1M,34.6M,37.2M,36.8M,33.6M,29.6M,24.9M,21.2M,18.3M,16.2M
Vietnam,1.49M,3.25M,4.76M,4.85M,5.86M,6.08M,5.14M,5.33M,5.24M,3.19M,3.04M,793k,795k,965k,1.11M,1.93M,1.68M,1.71M,1.96M,1.92M,1.94M,2.17M,2.53M,2.64M,2.45M,2.87M,2.8M,3.06M,3.94M,4.36M,4.8M,5.52M,6.3M,6.97M,7.65M,8.27M,8.97M,9.85M,10.5M,12.5M,12.2M,12M,13.3M,14.1M,14.2M,15.3M,16.7M,17M,18.2M,18.7M,20.8M,21.9M,22.6M,23.6M,24.6M
South Africa,5.61M,6.09M,6.62M,7.2M,7.92M,8.58M,9.39M,10.2M,11.3M,11M,11.7M,11.8M,11.7M,12.3M,11.7M,12M,13M,13.1M,13.3M,14.4M,14.1M,13.6M,14.4M,15.9M,16.4M,16.6M,16.7M,17.3M,18M,18.8M,20M,20.7M,21M,21.3M,21.6M,22M,22.5M,23.1M,23.9M,24.8M,24.8M,25.3M,25.8M,24.4M,24.1M,25.6M,25.7M,26.3M,26.7M,26.5M,27.5M,26M,25.9M,26.6M,27.2M
